Language	ISO 639-3 Code	Type
Bhatola	btl	Living
Bhatri	bgw	Living
Bhattiyali	bht	Living
Bhaya	bhe	Living
Bhele	bhy	Living
Bhilali	bhi	Living
Bhili	bhb	Living
Bhojpuri	bho	Living
Bhoti Kinnauri	nes	Living
Bhujel	byh	Living
Bhunjia	bhu	Living
Biafada	bif	Living
Biage	bdf	Living
Biak	bhw	Living
Biali	beh	Living
Bian Marind	bpv	Living
Biangai	big	Living
Biao	byk	Living
Biao Mon	bmt	Living
Biao-Jiao Mien	bje	Living
Biatah Bidayuh	bth	Living
Bidiyo	bid	Living
Bidyara	bym	Living
Bidyogo	bjg	Living
Biem	bmc	Living
Bierebo	bnk	Living
Bieria	brj	Living
Biete	biu	Living
Big Nambas	nmb	Living
Biga	bhc	Living
Bijori	bix	Living
Bikaru	bic	Living
Bikol	bik	Living
Bikya	byb	Living
Bila	bip	Living
Bilakura	bql	Living
Bilaspuri	kfs	Living
Bilba	bpz	Living
Bilbil	brz	Living
Bile	bil	Living
Bilin	byn	Living
Bilma Kanuri	bms	Living
Bilua	blb	Living
Bilur	bxf	Living
Bima	bhp	Living
Bimin	bhl	Living
Bimoba	bim	Living
Bina (Nigeria)	byj	Living
Binahari	bxz	Living
Binandere	bhg	Living
Bine	bon	Living
Bini	bin	Living
Binji	bpj	Living
Binongan Itneg	itb	Living
Bintauna	bne	Living
Bintulu	bny	Living
Binukid	bkd	Living
Binumarien	bjr	Living
Bipi	biq	Living
Birale	bxe	Living
Birao	brr	Living
Birgit	btf	Living
Birhor	biy	Living
Biritai	bqq	Living
Birri	bvq	Living
Birwa	brl	Living
Biseni	ije	Living
Bishnupriya	bpy	Living
Bishuo	bwh	Living
Bisis	bnw	Living
Bislama	bis	Living
Bisorio	bir	Living
Bissa	bib	Living
Bisu	bzi	Living
Bit	bgk	Living
Bitare	brt	Living
Bitur	mcc	Living
Biwat	bwm	Living
Biyo	byo	Living
Biyom	bpm	Living
